Submission ID / Identifiant de soumission,Date of submission / Date de soumission,Department,"Role
","Estimated FTEs Involved
","Estimated Time Spent
","Estimated Time to Secure DM Approval
","6.a. Have you previously completed the Service Inventory reporting process? 
","7 The most recent Service Inventory process (November 2024) required less time and effort than the 2023 process. 
","8 What resources did you use to understand the process? (check all that apply)
","9. Respond to this statement: If I had a question or a problem while working on the inventory, I was able to find the resources or help I needed to resolve it.    
","10. How would you rate your experience using the Service Inventory data collection Excel reporting template? 
","11. How would you rate your experience contacting the Service Policy generic inbox?
","12. How would you rate your experience attending the Service Policy-led drop-in sessions? 
","13 What about the process worked well? (check all that apply)
"," If you checked other, describe what worked well:
","14. What about the process could have been better? 
"," If you checked other, describe what could have been better:
","15. Is there anything else you’d like to share? 
"
13-02-c5ef,2025-02-13T18:41:29.739Z,Canadian Food Inspection Agency,Data analyst,2–5,Over 60 hours,3-4 weeks,Yes,Strongly disagree,"Drop-in sessions,Integrated Call Letter,GC Service Community GCXchange page,Policy on Service and Digital and related instruments,Service Policy generic inbox,Data dictionary on Open Government registry ,Open Government registry operations guides,Talking to colleagues who had worked on the process before,Other resource",Somewhat agree,Poor,Good,Good,"Helpful drop-in sessions,Ease of logging in/accessing open portal,Availability of support from service team",-,"Challenges using portal,Unclear definitions,Difficulty understanding data requirements,Challenges with requesting new Service ID/service standard ID,Unable to attend drop in sessions,Issues with the service inventory data collection template,Not applicable",-,"With our department having approximately 130 individual services, this new process has been extremely time-consuming, taxing, and frustrating.  The template is very finicky and required many additional hours for data entry as we could not simply copy and paste from previous or existing in-house workbooks. The process for requesting new SIDs and STIDs was laborious and frustrating, certainly not easy or accurate.  We also spent many additional hours correcting system-generated errors when it issued (sometimes repeatedly) false or duplicate SIDs or STDs. This new process has also caused a rift in collaboration between the Service and Security divisions within our department who now must work separately to complete similar work related to critical services and the Service Inventory.  In discussions with our Security counterparts, their side of the service inventory work (critical services) lacks support and clear direction -- our colleagues leaned heavily on our Service team to provide guidance and training on how to use GCEPM (formerly used for Service Inventory as Clarity) as they felt they did not receive adequate training or direction from TBS Security section. This has added additional stress to our Service workload that should be innovative instead of regressive in both process and reporting tools. The messaging and direction to our two divisions varied and caused a lot of confusion within the department. The Clarity tool and former reporting process is favoured by our team in comparison to the most recent year's."
14-02-95fd,2025-02-14T13:09:13.839Z,Correctional Service Canada,Data analyst,1,5-10 hours,1-2 weeks,No,-,"Integrated Call Letter,GC Service Community GCXchange page,Talking to colleagues who had worked on the process before",Somewhat disagree,Fair,Not applicable/did not contact the inbox,Did not attend,Availability of support from service team,-,"Difficulty understanding data requirements,Unable to attend drop in sessions",-,-
13-02-65fb,2025-02-13T18:28:46.492Z,Public Safety Canada,Data analyst,50+,Over 60 hours,More than 4 weeks ,Yes,Strongly agree,"Integrated Call Letter,Drop-in sessions,GC Service Community GCXchange page,Policy on Service and Digital and related instruments,Service Policy generic inbox,Data dictionary on Open Government registry ,Open Government registry operations guides",Strongly agree,Neutral,Excellent,Excellent,"Availability of support from service team,Ease of logging in/accessing open portal,Easy to use open portal,Ease of uploading data,Ease in requesting new service ID/service standard ID,Helpful drop-in sessions,Clear instructions",-,Issues with the service inventory data collection template,-,"This year was the best for availability from the service team, including quick email responses, replies to GCxchange messages, and clear answers from the drop in sessions. I have been the lead for 4 years now and this year was by far the best in customer service and having clear instructions."
28-02-e8b2,2025-02-28T13:47:17.546Z,Public Services and Procurement Canada,Data analyst,21–50,41-60 hours,1-2 weeks,Yes,Somewhat disagree,"Integrated Call Letter,Drop-in sessions,GC Service Community GCXchange page,Policy on Service and Digital and related instruments,Service Policy generic inbox,Data dictionary on Open Government registry ,Open Government registry operations guides",Strongly agree,Good,Good,Good,"Availability of support from service team,Ease in requesting new service ID/service standard ID,Ease of logging in/accessing open portal,Easy to use service inventory data collection template,Helpful drop-in sessions",-,"Challenges using portal,Difficulty understanding data requirements",-,"I like the changes but it all happened at once and also the data crossing and the fixes required several contacts with the branches and not all people were inclined to provide information in the allowed period so we couldn't provide a whole and fixed information because of the deadlines. Having more time to prepare and to provide feedback in the requests is important for both sides, but i understand this was the first year and the start in the new process, so it is all undesttandable."
18-02-5cdb,2025-02-18T14:09:58.261Z,Veterans Review and Appeal Board,Data analyst,2–5,21-40 hours,Less than one week,Yes,Neutral,"Integrated Call Letter,Drop-in sessions,GC Service Community GCXchange page,Policy on Service and Digital and related instruments,Data dictionary on Open Government registry ",Somewhat agree,Good,Not applicable/did not contact the inbox,Good,"Clear instructions,Ease of logging in/accessing open portal,Easy to use service inventory data collection template,Helpful drop-in sessions,Easy to use open portal,Ease of uploading data",-,Unable to attend drop in sessions,-,-
13-02-ea8d,2025-02-13T19:39:58.673Z,Financial Transactions and Reports Analysis Centre of Canada,IT analyst,2–5,11–20 hours,1-2 weeks,Yes,Neutral,"Integrated Call Letter,Drop-in sessions,GC Service Community GCXchange page,Policy on Service and Digital and related instruments,Service Policy generic inbox,Open Government registry operations guides",Somewhat agree,Neutral,Excellent,Good,"Availability of support from service team,Helpful drop-in sessions",-,"Difficulty understanding data requirements,Unclear definitions,Challenges using portal",-,-
13-02-986d,2025-02-13T20:05:08.507Z,Military Police Complaints Commission of Canada,IT analyst,2–5,Not sure,Not sure,I don't recall,-,"Not applicable/did not use any resources,Policy on Service and Digital and related instruments",Somewhat agree,Good,Good,Did not attend,Clear instructions,-,Unable to attend drop in sessions,-,-
19-02-b08b,2025-02-19T16:31:22.857Z,Shared Services Canada,IT analyst,21–50,Over 60 hours,More than 4 weeks ,Yes,Neutral,"Integrated Call Letter,Drop-in sessions,GC Service Community GCXchange page,Policy on Service and Digital and related instruments,Service Policy generic inbox,Data dictionary on Open Government registry ,Talking to colleagues who had worked on the process before",Somewhat agree,Good,Good,Excellent,"Availability of support from service team,Easy to use open portal,Ease of uploading data,Ease of logging in/accessing open portal,Easy to use service inventory data collection template,Helpful drop-in sessions",-,"Unclear definitions,Difficulty understanding data requirements,Tight timelines",-,More help was needed when defining what a service means in the context of the department as SSC's clients are other government departments and not citizens. Not all services offered by SSC could be considered directly orderable or consumable. Clearer instructions when reporting service standards (or lack of data) ahead of time would have been helpful.
17-02-215a,2025-02-17T13:04:52.778Z,The Correctional Investigator Canada,IT analyst,2–5,5-10 hours,Less than one week,Yes,Neutral,"Policy on Service and Digital and related instruments,Open Government registry operations guides,Talking to colleagues who had worked on the process before",Neutral,Fair,Good,Did not attend,"Ease of logging in/accessing open portal,Easy to use open portal",-,"Difficulty understanding data requirements,Unclear definitions,Issues with the service inventory data collection template",-,"The Excel template is not easy to use and instructions were sparse.  I recommend using an online portal to capture information rather than trying to fit our requirements into an Excel spreadsheet. Also, macros are disabled in our organization, so it was challenging for us to use the spreadsheet."
27-02-7506,2025-02-27T20:29:14.319Z,Canada Energy Regulator,Other ,2–5,11–20 hours,1-2 weeks,Yes,Somewhat agree,"Drop-in sessions,GC Service Community GCXchange page,Integrated Call Letter,Data dictionary on Open Government registry ",Somewhat agree,Good,Good,Good,"Ease of uploading data,Easy to use open portal,Ease of logging in/accessing open portal,Accurate and helpful data dictionary,Easy to use service inventory data collection template,Helpful drop-in sessions",-,"Difficulty understanding data requirements,Other",Two issues identified (minor) after submission in the portal. ,-
