Column1,fiscal_yr,service_id,service_name_en,service_name_fr,service_standard_id,service_standard_en,service_standard_fr,type,gcss_tool_fiscal_yr,channel,channel_comments_en,channel_comments_fr,target_type,target,volume_meeting_target,total_volume,performance,comments_en,comments_fr,target_met,standards_targets_uri_en,standards_targets_uri_fr,performance_results_uri_en,performance_results_uri_fr,org_name_variant,org_id,department_en,department_fr,fy_org_id_service_id,New_standard,Standard_established,Explanation_in_comment,Published_on_website,Column3
10846,2023-2024,1887,Client Services,Services à la clientèle,2190,"Telephone, TTY and chats: Mon to Fri, 8:30 a.m. to noon and 1:00 p.m. to 4:30 p.m. ET; Social media: Mon to Fri, 8:30 a.m. to noon and 1:00 p.m. to 4:30 p.m. ET; Online Support Centre available 24/7; Inquiries via email and webform within 10 business days; Voicemails: callbacks within 48 hours","Téléphone, téléscripteur et clavardage : lun au ven, 8h30 à midi et de 13h00 à 16h30 HE; Médias sociaux,  lun au ven, 8h30 à midi et de 13h00 à 16h30 HE; Centre de soutien en ligne en tout temps; Courriel et formulaire en ligne délai de 10 jours ouvrables;  Messages vocaux : délai de 48 heures",TML,,OTH,"Telephone, chats, social media, mail, email, fax, online webform","Téléphone, clavardage, médias sociaux, courrier, courriel, fax, formulaire en ligne",,,,,,Client Services does not track service standard targets.,Les services à la clientèle ne surveillent pas les objectifs relatifs aux normes de service.,,,,,,crtc,93,Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes,2023-2024_93_1887,,,Client Services does not track service standard targets,,
10872,2023-2024,3638,Stratospheric Balloon Flight Opportunities (STRATOS),Opportunités de vols de ballons stratosphériques (STRATOS),8620,An answer is provided within 14 business following the request.,Une réponse est fournie dans les 14 jours ouvrables suivant la demande,TML,,ONL,,,,,,,,,,,,,Not applicable,Not applicable,csa-asc,95,Canadian Space Agency,Agence spatiale canadienne,2023-2024_95_3638,8620,,,Not applicable,
10884,2023-2024,SRV03429,Core geospatial observation sites in remote locations of Canada (GO Canada),Sites de base d'observation géospatiale en régions éloignées du Canada (GO Canada),8729,No service standard established.,Aucune norme de service établie,OTH,,EML,No service standard established.,Aucune norme de service établie,,,,,,,,,,,Not applicable,Not applicable,csa-asc,95,Canadian Space Agency,Agence spatiale canadienne,2023-2024_95_SRV03429,8729,No,No service standard established,Not applicable,
10912,2023-2024,1120,Issuance of licences for the use of copyright works when the owner is unlocatable,Délivrance de licences pour les oeuvres protégées par un droit d'auteur lorsque le titulaire est introuvable,1073,Licences are issued within 45 days once the file is considered complete,Les licences sont délivrées dans un délai de 45 jours une fois le dossier considéré complet,TML,,EML,"Mail, Tel, Email","Courrier, téléphone, courriel",,,,,,,,,https://www.cb-cda.gc.ca/en/unlocatable-owners/general-information,https://www.cb-cda.gc.ca/fr/titulaires-introuvables/information-generale,,,cb-cda,114,Copyright Board Canada,Commission du droit d'auteur Canada,2023-2024_114_1120,,,,,
10913,2023-2024,1119,Copyright Tariff Setting,Établissement de tarifs liés au droit d’auteur,3961,Percentage of tariff decisions published within 12 months,Pourcentage de décisions relatives aux tarifs publiées dans un délai d’au plus 12 mois,TML,,ONL,"Mail, Tel, Email","Courrier, téléphone, courriel",,,,,,,,,https://cb-cda.gc.ca/en/faq,https://cb-cda.gc.ca/fr/faq,,,cb-cda,114,Copyright Board Canada,Commission du droit d'auteur Canada,2023-2024_114_1119,,,,,
10930,2023-2024,2126,"Support in accordance with the Addition of Lands to Reserve and Reserve Creation Act, the First Nations Fiscal Management Act and the Framework Agreement on First Nation Land Management Act and the related institutions","Appui portant sur la Loi sur l’ajout de terres aux réserves et la création de réserves, la Loi sur la gestion financière des premières nations et la Loi sur l’Accord-cadre relatif à la gestion des terres de premières nations.",3876,Scheduling of First Nations to the FNFMA,Ajout des Premières Nations à la LGFPN,OTH,,OTH,No service standards established as the program is impacted by internal (Ministerial Order review and signature by the Minister) and external (Department of Justice's review and approval of the Ministerial Order) events for which no service standards were established.,Aucune norme de service n’est établie puisque le programme est touché par des événements externes (examen du décret ministériel et signature par le ministre) et internes (examen et approbation du décret ministériel par le ministère de la Justice) pour lesquels aucune norme de service n’a été établie.,,,,,,No service standards established as the program is impacted by external events for which no service standards were established.,Aucune norme de service n’est établie puisque le programme est impacté par des événements externes pour lesquels aucune norme de service n’a été établie.,,,,,,aandc-aadnc,129,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,2023-2024_129_2126,,No,No service standards established as the program is impacted by external events for which no service standards were established.,,
10931,2023-2024,2477,"Support in accordance with the First Nations Fiscal Management Act, and its institutions",Support en lien avec la Loi sur la gestion financière des Premières Nations et ses institutions.,3878,Scheduling of First Nations,Ajout des Premières Nations,OTH,,OTH,No service standards established as the program is impacted by external events for which no service standards were established,Aucune norme de service n’est établie puisque le programme est touché par des événements externes pour lesquels aucune norme de service n’a été établie.,,,,,,,,,,,,,aandc-aadnc,129,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,2023-2024_129_2477,,No,No service standards established as the program is impacted by external events for which no service standards were established,,
10933,2023-2024,2122,Northern Contaminants Program,Programme de lutte contre les contaminants dans le Nord,3881,To make payments under all funding agreements in accordance with the payment schedule and the agreement terms and conditions,Effectuer les paiements prévus dans toutes les ententes de financement conformément au calendrier de paiement et aux modalités des ententes,ACY,,EML,,,,,,,,"FA-NAO is responsible for meeting this service standard, however, the Northern Contaminants Program Secretariat plays a crucial role to informing whether a project has met the required criteria to initiate a funding agreement. The target is met and exceeded annually. CIRNACâ€™s Northern Contaminants Program strives to make the contribution agreement process as seamless and accessible as possible to the programâ€™s key target audiences, which primarily includes applicants in northern communities and throughout the scientific research community, with special considerations for those applicants who may have limited bandwidth and IT capacity. Support is offered to all applicants on both a pro-active (e.g., information sessions) and as-needed basis (one-on-one support from the NCP Secretariat and 5 Regional Contaminants Committeesâ€™ resource persons), covering aspects of both content and a technological nature. We share the goal to create barrier-free, inclusive and accessible services","La FA-NAO est responsable de respecter cette norme de service, cependant, le Secrétariat du Programme de lutte contre les contaminants dans le Nord joue un rôle crucial en informant si un projet a satisfait aux critères requis pour initier une entente de financement. L'objectif est atteint et dépassé chaque année. Le Programme de lutte contre les contaminants dans le Nord de RCAANC s'efforce de rendre le processus d'entente de contribution aussi transparent et accessible que possible aux principaux publics cibles du programme, qui comprend principalement les candidats des collectivités du Nord et de l'ensemble de la communauté de la recherche scientifique, en accordant une attention particulière aux candidats qui peuvent avoir une bande passante limitée et Capacité informatique. Un soutien est offert à tous les candidats à la fois de manière proactive (par exemple, des séances d'information) et au besoin (soutien individuel du secrétariat du PCN et des personnes-ressources des 5 comités régionaux des contaminants), couvrant à la fois les aspects du contenu et un caractère technologique. Nous partageons l'objectif de créer des services sans obstacles, inclusifs et accessibles",,https://www.rcaanc-cirnac.gc.ca/eng/1704739673433/1704740122622,https://www.rcaanc-cirnac.gc.ca/fra/1704739673433/1704740122622,,,aandc-aadnc,129,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,2023-2024_129_2122,,,Multiple offices are responsible of the standard.,https://www.rcaanc-cirnac.gc.ca/eng/1732656933169/1732657050360,Comment indicates the target is met.
10941,2023-2024,2128,Ministerial Correspondence,Correspondence ministérielle,3894,"Urgent correspondence: 6 business days, SVIP correspondence: 20 business days, VIP correspondence: 25 business days, and general public correspondence: 30 business days","Correspondance urgente : 6 jours ouvrables, correspondance SVIP : 20 jours ouvrables, correspondance VIP : 25 jours ouvrables, et correspondance du grand public : 30 jours ouvrables",TML,,OTH,"Service standards are administered through different channels, including email and physical mail. Target information is not determined and therefore not collected at this moment as the Corporate Secretariat does not have the system in place to effectively collect the data.","Les standards de service sont administrés à travers différents outils, incluant les courriels électroniques et le courrier postal. Les informations sur les cibles ne sont pas déterminées et donc ne sont pas collectées pour le moment, car le Secrétariat ministériel ne dispose pas du système nécessaire pour collecter efficacement ces données.",,,,,,"We cannot easily divide results by total volume. Not all correspondence received or briefing notes requested end up being tasked for response or action. Similarly, not all requests for reports or help with ccmEnterprise end up resulting in a new report being created or a fix being made to the program. The Ministerial Correspondence Unit is recognized for providing excellent service to its clients and this is reflected in the relations we have achieved with our clients in helping them deliver results.","Nous ne pouvons pas facilement diviser les résultats par le volume total. La correspondance reçue ou les notes d'information demandées ne font pas toutes l'objet d'une réponse ou d'une action. De même, toutes les demandes de rapports ou d'aide concernant ccmEnterprise ne se traduisent pas par la création d'un nouveau rapport ou par une correction du programme. L'Unité de la correspondance ministérielle est reconnue pour l'excellence du service qu'elle fournit à ses clients, ce qui se reflète dans les relations que nous avons avec nos clients en les aidant à produire des résultats.",,https://intranet-rcaanc-cirnac/eng/1562611886666/1562611997370 (Ministerial correspondence and briefing notes guide),https://intranet-rcaanc-cirnac/fra/1562611886666/1562611997370 (Guide sur la correspondance ministérielle et les notes de breffage),,,aandc-aadnc,129,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,2023-2024_129_2128,,,Target information is not determined and therefore not collected at this moment as the Corporate Secretariat does not have the system in place to effectively collect the data.,,
10944,2023-2024,2564,Contribution and Loan Funding to support Indigenous Communities Programs,"Fonds de contribution et de prêt pour soutenir les programmes de négociations, de reconstruction des Nation et d’Espaces culturels dans les communautés autochtones. s",3925,To send an acknowledgement of receipt of a proposal within 10 working days of receipt of a proposal.,Envoyer un accusé de réception d'une proposition dans les dix jours ouvrables suivant la réception de la proposition.,TML,,EML,"For Contribution: Due to the degree of integration between CIRNAC and Indigenous Services Canada (ISC), the 2022 to 2023 targets & results have been calculated using the combined data of the 2 departments.","Pour la contribution: En raison du niveau d'intégration entre RCAANC et Services aux Autochtones Canada (SAC), les cibles de rendement et résultats pour l'exercice financier de 2022 à 2023 ont été calculés à partir des données combinées des 2 ministères.",,,,,,"For Contribution: Due to the degree of integration between CIRNAC and Indigenous Services Canada (ISC), the 2020 to 2021 targets & results have been calculated using the combined data of the 2 departments. CIRNAC/ISC service standards apply to all transfer payments. Targets and performance results cover all transfer payments programs including the Negotiation, Nation Rebuilding and Cultural Spaces in Indigenous Communities Programs. The above service standards also apply to loans to support the negotiation of specific claims but are not included in the results presented for transfer payment programs","Pour la contribution: En raison du niveau d'intégration entre RCAANC et Services aux Autochtones Canada (SAC), les cibles de rendement et résultats pour l'exercice financier de 2020 à 2021 ont été calculés à partir des données combinées des 2 ministères. Les normes de service de RCAANC/SAC s'appliquent à tous les paiements de transfert. Les cibles et résultats en matière de rendement couvrent tous les programmes de paiements de transfert qui inclus les programmes de négociations, de reconstruction des Nation et d’Espaces culturels dans les communautés autochtones. Les normes de service mentionnées ci-haut s’appliquent aussi aux prêts pour soutenir la négociation des revendications particulières mais ne sont pas inclus dans les résultats présentées pour les programmes de paiements de transfert",,https://www.rcaanc-cirnac.gc.ca/eng/1386685258975/1618595760832,https://www.rcaanc-cirnac.gc.ca/fra/1386685258975/1618595760832,,,aandc-aadnc,129,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,2023-2024_129_2564,,,Two departments are responsible of the service.,,
